dice1,dice2,dice3,dice4,dice5,ID
1,3,4,4,4,13444
3,4,4,4,6,34446
1,2,3,4,4,12344
2,2,4,5,6,22456
2,4,4,4,5,24445
1,3,3,3,5,13335
1,3,3,3,5,13335
2,3,4,5,6,23456
2,2,2,5,5,22255
1,4,4,4,6,14446
1,4,4,6,6,14466
2,2,2,3,3,22233
1,2,3,5,5,12355
1,1,4,5,5,11455
1,3,3,3,4,13334
1,2,3,5,6,12356
1,2,4,5,6,12456
2,2,3,6,6,22366
2,3,4,6,6,23466
1,3,4,5,5,13455
2,3,5,6,6,23566
2,3,3,3,6,23336
3,3,4,5,6,33456
2,3,4,6,6,23466
1,2,3,5,6,12356
1,1,2,2,4,11224
2,4,4,4,6,24446
1,4,4,5,5,14455
2,3,4,5,6,23456
1,2,2,4,5,12245
3,5,6,6,6,35666
2,3,3,4,6,23346
2,2,3,4,5,22345
2,3,3,4,6,23346
2,3,5,5,6,23556
1,5,6,6,6,15666
4,4,5,5,6,44556
2,4,5,6,6,24566
1,3,3,4,4,13344
1,2,4,5,6,12456
1,1,5,6,6,11566
1,4,4,4,6,14446
1,1,2,3,6,11236
4,5,5,6,6,45566
2,2,3,6,6,22366
4,4,5,6,6,44566
1,1,2,3,3,11233
3,5,6,6,6,35666
1,2,3,3,4,12334
2,3,5,5,6,23556
1,2,3,4,6,12346
1,4,4,6,6,14466
1,3,3,4,6,13346
1,3,3,3,6,13336
1,3,4,6,6,13466
2,4,4,5,6,24456
3,5,5,6,6,35566
1,3,3,4,5,13345
1,2,2,2,6,12226
1,2,2,3,6,12236
2,2,4,5,5,22455
1,1,2,4,5,11245
1,2,3,4,5,12345
1,2,2,3,3,12233
2,2,4,6,6,22466
1,1,3,5,6,11356
1,1,3,3,3,11333
2,3,4,4,4,23444
1,3,4,5,5,13455
1,2,3,5,6,12356
1,1,3,4,5,11345
2,3,4,5,6,23456
2,2,3,4,4,22344
1,1,2,2,4,11224
1,1,2,2,6,11226
4,4,4,5,6,44456
1,1,5,6,6,11566
1,1,2,2,5,11225
3,4,6,6,6,34666
1,4,4,4,4,14444
1,2,4,5,6,12456
1,1,4,4,4,11444
1,1,3,4,5,11345
1,1,3,5,6,11356
4,5,6,6,6,45666
1,2,3,5,6,12356
1,5,5,6,6,15566
1,2,2,3,4,12234
1,4,4,5,6,14456
2,2,5,5,5,22555
1,2,2,3,4,12234
1,2,4,4,6,12446
1,1,3,4,6,11346
1,2,4,6,6,12466
2,2,4,4,5,22445
1,3,4,5,6,13456
1,3,3,3,5,13335
5,5,5,6,6,55566
1,1,2,5,6,11256
3,5,5,5,6,35556
1,3,5,6,6,13566
1,2,2,4,5,12245
1,2,4,4,4,12444
5,5,6,6,6,55666
1,3,4,5,5,13455
1,2,3,5,5,12355
1,5,5,6,6,15566
1,3,4,4,5,13445
1,3,4,5,6,13456
1,4,5,5,5,14555
2,3,4,4,6,23446
1,1,3,5,6,11356
1,2,2,2,3,12223
2,2,4,5,6,22456
2,3,4,5,6,23456
1,2,3,3,6,12336
1,3,4,5,5,13455
1,4,4,6,6,14466
2,2,2,6,6,22266
1,4,5,5,5,14555
1,1,2,3,5,11235
4,5,5,6,6,45566
2,3,4,5,6,23456
2,3,3,4,6,23346
2,3,4,4,6,23446
3,4,4,5,6,34456
3,3,4,4,5,33445
1,1,3,3,6,11336
1,1,2,6,6,11266
2,3,3,5,6,23356
1,2,4,5,6,12456
1,3,4,4,6,13446
1,1,2,5,6,11256
2,3,3,3,5,23335
3,4,4,4,4,34444
1,2,4,5,6,12456
2,3,3,6,6,23366
1,2,3,4,6,12346
1,1,3,5,5,11355
1,2,2,5,6,12256
1,2,2,4,5,12245
1,1,2,4,5,11245
2,2,3,3,6,22336
1,1,2,4,4,11244
3,4,4,5,6,34456
2,3,4,4,5,23445
1,2,3,6,6,12366
2,2,3,6,6,22366
1,2,4,5,5,12455
1,3,3,6,6,13366
1,1,4,5,6,11456
3,4,6,6,6,34666
1,4,5,6,6,14566
1,3,4,4,6,13446
2,3,3,4,5,23345
1,2,5,5,6,12556
1,4,5,5,6,14556
1,1,2,2,2,11222
1,2,4,6,6,12466
2,3,5,5,6,23556
2,4,5,6,6,24566
2,2,3,3,5,22335
1,1,4,4,4,11444
2,2,2,3,5,22235
4,4,6,6,6,44666
2,3,5,5,6,23556
1,2,4,4,4,12444
2,4,4,4,6,24446
1,1,3,3,4,11334
2,2,2,4,6,22246
1,2,3,5,6,12356
3,4,4,5,6,34456
2,3,4,5,6,23456
2,2,3,4,5,22345
1,2,3,4,4,12344
1,3,3,3,6,13336
1,2,4,6,6,12466
2,2,3,6,6,22366
3,4,5,5,6,34556
3,5,6,6,6,35666
3,3,5,5,6,33556
1,2,2,3,6,12236
1,1,6,6,6,11666
2,3,3,3,3,23333
2,3,3,5,5,23355
3,3,4,6,6,33466
2,3,6,6,6,23666
1,2,5,5,5,12555
1,2,3,3,5,12335
1,2,3,3,5,12335
1,1,4,5,6,11456
1,3,4,5,6,13456
2,3,5,5,6,23556
1,2,3,3,5,12335
1,1,1,5,6,11156
1,2,2,3,6,12236
3,4,6,6,6,34666
3,3,4,4,6,33446
4,4,5,5,6,44556
1,1,1,1,5,11115
3,4,5,5,6,34556
4,5,5,5,5,45555
1,4,5,5,6,14556
3,3,4,5,6,33456
1,1,2,2,4,11224
2,4,5,5,6,24556
1,1,2,3,4,11234
2,4,4,5,6,24456
1,3,3,5,5,13355
2,2,5,6,6,22566
2,3,5,5,5,23555
2,3,5,6,6,23566
1,1,1,2,3,11123
1,2,3,4,5,12345
1,2,2,3,4,12234
1,3,3,3,6,13336
1,1,2,3,5,11235
3,3,3,5,6,33356
1,1,2,4,4,11244
1,1,1,3,4,11134
1,2,2,4,5,12245
4,4,5,6,6,44566
1,2,2,2,4,12224
1,2,5,6,6,12566
2,3,3,3,4,23334
1,1,1,2,5,11125
1,1,3,3,6,11336
1,2,3,3,4,12334
1,3,4,6,6,13466
1,2,2,3,6,12236
1,4,4,6,6,14466
1,1,1,2,4,11124
1,1,3,3,6,11336
1,1,1,2,5,11125
3,3,4,4,5,33445
1,1,3,4,5,11345
1,1,3,5,5,11355
1,1,2,4,5,11245
1,3,5,6,6,13566
2,2,4,5,6,22456
4,4,5,6,6,44566
2,3,3,4,5,23345
4,5,5,5,6,45556
1,5,5,5,6,15556
3,3,4,6,6,33466
1,3,4,5,6,13456
1,1,3,5,6,11356
2,3,3,3,6,23336
1,1,2,5,6,11256
3,4,4,4,5,34445
3,3,3,4,5,33345
1,1,2,2,3,11223
1,2,3,4,6,12346
2,4,4,5,6,24456
1,3,3,5,6,13356
1,2,2,3,5,12235
1,3,4,6,6,13466
1,1,2,3,6,11236
1,3,4,4,6,13446
3,3,4,4,6,33446
2,2,6,6,6,22666
1,5,5,6,6,15566
1,1,2,5,6,11256
2,3,3,5,6,23356
2,3,4,6,6,23466
1,1,2,2,6,11226
1,1,2,3,4,11234
1,3,4,4,6,13446
2,4,5,5,6,24556
1,1,3,3,5,11335
2,2,3,4,4,22344
1,1,2,3,5,11235
2,4,5,6,6,24566
2,4,4,5,6,24456
1,2,4,5,6,12456
1,2,3,3,4,12334
1,1,4,5,6,11456
1,2,2,4,5,12245
2,3,3,6,6,23366
1,1,1,5,6,11156
1,2,2,2,3,12223
1,1,1,2,4,11124
1,2,3,3,6,12336
1,3,3,5,6,13356
1,1,2,3,4,11234
2,3,4,5,6,23456
2,2,5,5,6,22556
2,2,2,4,6,22246
1,2,4,5,6,12456
1,1,3,5,6,11356
2,3,3,5,6,23356
